Consume you, it will	it will consume you
Patience you must have my young Padawan.	you must have patience my young padawan
Powerful you have become, the dark side I sense in you	you have become powerful, i sense in you the dark side
The shadow of greed, that is	that is the shadow of greed
Truly wonderful the mind of a child is	the mind of a child is truly wonderful
Judge me by my size, do you	do  you judge me by my size
Impossible to see the light, the future is	the future is impossible to see the light
To answer power with power, the Jedi way this is not	The jedi way is not to answer power with power
In this war, a danger there is, of losing who we are	There is a danger of losing who we are in this war
Named must your fear be before banish it you can.	Your fear must be named before you can banish it
Earned it I have	i have earned it
Soon will I rest, yes, forever sleep	Yes soon i will rest, forever sleep
When you look at the dark side, careful you must be	you must be careful when you look at the dark side
Smaller in number are we, but larger in mind	we are smaller in number but larger in mind
Your path you must decide	you must decide your path
Always two there are, no more, no less	there are always two, no more no less
No longer certain, that one ever does win a war, I am	i am no longer certain that one ever does win in a war
For in fighting the battles, the bloodshed, already lost we have	For in fighting the battles, the bloodshed, we have already lost
Through this path, victory we may yet find	We may yet find victory through this path
